gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,country,state,city,zip_code,latitude,longitude,population,quarter,referred_a_friend,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,cltv,churn
female,78,no,yes,no,yes,1,united states,california,north hollywood,91605,34.207295,-118.400022,57146,q3,no,0,11,offer d,yes,11.59,no,yes,fiber optic,29,no,yes,no,no,yes,yes,no,no,month-to-month,yes,bank withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,1,5980,1
male,65,no,yes,no,no,0,united states,california,covina,91722,34.097345,-117.906736,33817,q3,no,0,15,offer d,yes,29.11,no,yes,fiber optic,29,no,yes,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,4616,1
male,77,no,yes,yes,no,0,united states,california,el monte,91732,34.074492,-118.01462,62660,q3,yes,1,1,offer e,no,0.0,no,yes,dsl,12,no,yes,no,no,yes,no,no,yes,month-to-month,no,bank withdrawal,40.2,40.2,0.0,0,0.0,40.2,2,5828,1
male,67,no,yes,no,no,0,united states,california,la puente,91746,34.038983,-117.991372,30802,q3,no,0,3,offer e,no,0.0,no,yes,dsl,28,no,no,yes,no,no,yes,yes,yes,month-to-month,yes,bank withdrawal,41.15,132.2,0.0,0,0.0,132.2,2,2314,1
male,68,no,yes,no,no,0,united states,california,rowland heights,91748,33.976753,-117.897367,46342,q3,no,0,13,offer d,yes,32.68,yes,yes,cable,11,no,yes,yes,no,yes,yes,no,no,month-to-month,yes,bank withdrawal,106.9,1364.3,0.0,10,424.84,1799.14,1,2494,1
female,68,no,yes,no,no,0,united states,california,ontario,91764,34.074087,-117.605618,49474,q3,no,0,16,offer d,yes,9.43,no,yes,fiber optic,9,no,no,no,yes,yes,yes,yes,yes,month-to-month,yes,bank withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,1,3810,1
male,66,no,yes,no,no,0,united states,california,alpine,91901,32.827184,-116.703729,16486,q3,no,0,8,,yes,1.78,no,yes,fiber optic,7,no,yes,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,74.5,606.55,0.0,0,14.24,620.79,2,4345,1
male,69,no,yes,no,no,0,united states,california,san diego,92122,32.85723,-117.209774,34902,q3,no,0,24,offer c,yes,30.87,yes,yes,fiber optic,15,no,no,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,2,2018,1
female,74,no,yes,no,no,0,united states,california,san diego,92122,32.85723,-117.209774,34902,q3,no,0,4,offer e,yes,31.61,yes,yes,fiber optic,2,no,no,no,no,yes,yes,no,yes,month-to-month,yes,bank withdrawal,95.45,396.1,0.0,0,126.44,522.54,3,3677,1
male,76,no,yes,yes,no,0,united states,california,san diego,92122,32.85723,-117.209774,34902,q3,yes,2,32,offer c,yes,47.34,yes,yes,fiber optic,10,no,no,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,2,4105,1
male,77,no,yes,yes,no,0,united states,california,san diego,92122,32.85723,-117.209774,34902,q3,yes,1,24,offer c,yes,16.1,no,yes,cable,12,no,no,yes,no,yes,yes,yes,yes,month-to-month,yes,bank withdrawal,93.15,2231.05,0.0,0,386.4,2617.4500000000003,2,2212,1
female,70,no,yes,no,no,0,united states,california,san diego,92122,32.85723,-117.209774,34902,q3,no,0,54,offer b,yes,12.08,yes,yes,dsl,5,yes,yes,no,yes,yes,yes,yes,yes,one year,no,bank withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,1,4149,1
female,74,no,yes,no,no,0,united states,california,san diego,92122,32.85723,-117.209774,34902,q3,no,0,2,offer e,yes,13.17,no,yes,fiber optic,10,no,no,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,70.35,139.05,0.0,0,26.34,165.39,3,2671,1
female,77,no,yes,no,no,0,united states,california,san diego,92122,32.85723,-117.209774,34902,q3,no,0,21,,no,0.0,no,yes,cable,8,yes,no,no,no,yes,no,no,yes,month-to-month,yes,bank withdrawal,41.9,840.1,0.0,0,0.0,840.1,1,4778,1
male,71,no,yes,yes,no,0,united states,california,san diego,92122,32.85723,-117.209774,34902,q3,no,0,27,,no,0.0,no,yes,cable,13,yes,no,no,no,no,no,no,no,month-to-month,no,credit card,30.75,805.1,0.0,140,0.0,945.1,1,2927,1
male,79,no,yes,yes,no,0,united states,california,san diego,92122,32.85723,-117.209774,34902,q3,yes,1,11,,yes,29.54,no,no,,0,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.95,214.75,0.0,0,324.94,539.69,1,5888,1
female,66,no,yes,yes,no,0,united states,california,san diego,92122,32.85723,-117.209774,34902,q3,yes,2,55,offer b,yes,42.82,yes,yes,fiber optic,27,no,yes,yes,no,no,no,no,no,month-to-month,yes,bank withdrawal,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1,5502,1
male,77,no,yes,no,no,0,united states,california,san diego,92122,32.85723,-117.209774,34902,q3,no,0,3,offer e,yes,9.22,yes,yes,fiber optic,14,no,yes,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,81.35,233.7,0.0,0,27.660000000000004,261.36,1,2818,1
female,80,no,yes,no,no,0,united states,california,thermal,92274,33.53604,-116.119222,17018,q3,no,0,1,offer e,yes,35.09,no,yes,fiber optic,17,no,no,yes,no,no,no,no,no,month-to-month,yes,bank withdrawal,75.3,75.3,0.0,20,35.09,130.39,2,4902,1
female,77,no,yes,no,no,0,united states,california,riverside,92509,34.004379,-117.447864,63999,q3,no,0,5,offer e,no,0.0,no,yes,dsl,26,no,yes,no,no,no,no,no,yes,month-to-month,no,bank withdrawal,28.45,131.05,0.0,0,0.0,131.05,2,4099,1
female,77,no,yes,no,no,0,united states,california,hemet,92544,33.644585,-116.871544,39264,q3,no,0,20,,yes,48.73,yes,yes,fiber optic,12,no,yes,yes,no,no,yes,no,no,month-to-month,yes,bank withdrawal,94.1,1782.4,0.0,80,974.6,2837.0,1,2666,1
female,72,no,yes,yes,no,0,united states,california,moreno valley,92557,33.970661,-117.255039,46214,q3,yes,4,5,offer e,yes,45.76,yes,yes,fiber optic,22,no,no,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,74.35,334.8,0.0,0,228.8,563.6,1,5273,1
female,80,no,yes,yes,no,0,united states,california,perris,92571,33.828289,-117.201666,26357,q3,yes,2,27,,yes,7.02,no,yes,cable,25,yes,no,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,1,4517,1
female,74,no,yes,no,no,0,united states,california,anaheim,92807,33.848733,-117.788357,36301,q3,no,0,4,,yes,48.35,yes,yes,cable,24,no,no,yes,no,yes,no,no,yes,month-to-month,yes,bank withdrawal,89.2,346.2,0.0,0,193.4,539.6,1,5808,1
female,68,no,yes,no,no,0,united states,california,brea,92823,33.924143,-117.79387,1408,q3,no,0,1,,yes,45.81,yes,yes,fiber optic,21,no,no,no,no,yes,no,no,yes,month-to-month,yes,bank withdrawal,85.7,85.7,0.0,0,45.81,131.51,1,4880,1
female,78,no,yes,yes,no,0,united states,california,yorba linda,92887,33.884073,-117.732197,20893,q3,yes,3,65,offer b,yes,18.39,yes,yes,fiber optic,28,yes,no,yes,no,yes,yes,no,yes,month-to-month,no,bank withdrawal,105.25,6786.4,0.0,0,1195.35,7981.75,1,4196,1
male,75,no,yes,yes,no,0,united states,california,summerland,93067,34.420998,-119.60137,576,q3,yes,3,49,offer b,yes,22.92,yes,yes,fiber optic,14,no,yes,no,no,no,yes,no,yes,month-to-month,no,credit card,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,2,5059,1
male,77,no,yes,yes,no,0,united states,california,santa barbara,93101,34.419203,-119.710008,31727,q3,yes,1,43,offer b,yes,14.52,yes,yes,fiber optic,5,no,yes,yes,yes,yes,yes,no,yes,month-to-month,yes,bank withdrawal,110.75,4687.9,0.0,0,624.36,5312.259999999999,2,2728,1
male,80,no,yes,yes,no,0,united states,california,alpaugh,93201,35.869626,-119.498771,1054,q3,no,0,56,offer b,yes,48.8,yes,yes,fiber optic,12,yes,no,yes,no,yes,yes,no,yes,one year,yes,bank withdrawal,104.55,5794.65,0.0,0,2732.8,8527.449999999999,1,6268,1
male,75,no,yes,yes,no,0,united states,california,camp nelson,93208,36.057458,-118.591951,191,q3,yes,7,20,,yes,5.31,yes,yes,fiber optic,10,no,no,no,no,yes,yes,yes,yes,month-to-month,yes,bank withdrawal,94.55,1899.65,0.0,0,106.2,2005.85,1,5604,1
female,69,no,yes,no,no,0,united states,california,delano,93215,35.772244,-119.209689,37280,q3,no,0,2,,yes,47.47,yes,yes,fiber optic,19,no,yes,no,no,no,yes,yes,yes,month-to-month,no,bank withdrawal,89.5,161.5,0.0,0,94.94,256.44,2,2065,1
female,74,no,yes,no,no,0,united states,california,fellows,93224,35.215731,-119.57013,626,q3,no,0,8,,yes,27.95,no,no,,0,no,no,no,no,no,no,no,no,month-to-month,no,bank withdrawal,19.65,164.3,0.0,0,223.6,387.9,2,5432,1
male,76,no,yes,no,no,0,united states,california,temecula,92592,33.507255,-117.029473,46171,q3,no,0,52,,no,0.0,no,yes,dsl,18,no,yes,no,no,yes,yes,yes,no,month-to-month,yes,bank withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,2,5597,1
male,69,no,yes,no,no,0,united states,california,san diego,92129,32.961064,-117.134917,47224,q3,no,0,2,,yes,43.99,no,yes,dsl,27,yes,no,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,49.25,91.1,0.0,0,87.98,179.07999999999998,2,3475,1
male,72,no,yes,yes,no,0,united states,california,san diego,92129,32.961064,-117.134917,47224,q3,yes,1,33,,yes,27.78,yes,yes,fiber optic,8,no,no,no,no,yes,yes,no,yes,month-to-month,yes,bank withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,3,4333,1
female,69,no,yes,no,no,0,united states,california,san diego,92129,32.961064,-117.134917,47224,q3,no,0,30,,yes,45.88,yes,yes,fiber optic,19,yes,yes,yes,no,no,no,no,yes,month-to-month,no,credit card,91.7,2758.15,0.0,0,1376.4,4134.55,1,2482,1
male,73,no,yes,no,no,0,united states,california,san diego,92129,32.961064,-117.134917,47224,q3,no,0,20,,yes,44.44,yes,yes,fiber optic,13,no,no,yes,no,yes,yes,no,no,month-to-month,yes,bank withdrawal,98.55,1842.8,0.0,120,888.8,2851.6,3,5444,1
female,65,no,yes,no,no,0,united states,california,biola,93606,36.798882,-120.019511,807,q3,no,0,46,,yes,2.37,yes,yes,fiber optic,20,yes,yes,yes,no,yes,yes,yes,yes,one year,yes,bank withdrawal,110.0,4874.8,0.0,0,109.02,4983.820000000001,1,2403,1
male,74,no,yes,yes,no,0,united states,california,selma,93662,36.545322,-119.642281,26213,q3,yes,1,7,,yes,21.91,yes,yes,cable,11,no,no,no,no,yes,yes,no,yes,month-to-month,yes,bank withdrawal,95.6,644.35,0.0,0,153.37,797.72,3,3265,1
female,65,no,yes,no,no,0,united states,california,squaw valley,93675,36.719141,-119.202677,3146,q3,no,0,4,,yes,36.93,no,yes,fiber optic,18,no,no,no,no,yes,no,no,yes,month-to-month,yes,bank withdrawal,78.85,292.8,0.0,0,147.72,440.52,3,5301,1
female,66,no,yes,no,no,0,united states,california,fresno,93706,36.654614,-119.903674,35790,q3,no,0,55,,yes,37.38,yes,yes,fiber optic,7,no,no,yes,no,yes,yes,yes,no,one year,yes,bank withdrawal,100.0,5509.3,0.0,100,2055.9,7665.200000000001,3,5679,1
male,71,no,yes,yes,no,0,united states,california,jolon,93928,35.930782,-121.189757,254,q3,yes,1,20,,yes,5.37,no,yes,fiber optic,24,no,yes,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,73.65,1463.5,0.0,0,107.4,1570.9,1,5849,1
male,65,no,yes,no,no,0,united states,california,san francisco,94102,37.7795,-122.419233,28998,q3,no,0,9,,yes,48.71,yes,yes,fiber optic,15,no,no,yes,no,yes,yes,yes,yes,month-to-month,yes,bank withdrawal,100.5,918.6,0.0,0,438.39,1356.99,1,4038,1
male,69,no,yes,no,no,0,united states,california,san francisco,94108,37.791998,-122.408653,13723,q3,no,0,10,,yes,5.46,no,yes,fiber optic,24,no,yes,no,no,no,no,no,no,month-to-month,yes,bank withdrawal,72.85,688.65,0.0,30,54.6,773.25,1,3189,1
male,75,no,yes,yes,no,0,united states,california,san francisco,94114,37.758085,-122.434801,30587,q3,no,0,1,,yes,36.92,yes,yes,fiber optic,6,no,no,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,73.55,73.55,0.0,0,36.92,110.47,2,4369,1
female,75,no,yes,no,no,0,united states,california,san francisco,94130,37.820894,-122.369725,1458,q3,no,0,3,,yes,41.9,yes,yes,fiber optic,11,no,yes,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,79.4,205.05,0.0,0,125.7,330.75,1,3501,1
female,68,no,yes,no,no,0,united states,california,palo alto,94304,37.386978,-122.177746,1723,q3,no,0,4,,yes,6.68,yes,yes,cable,17,no,no,no,no,no,yes,no,yes,month-to-month,yes,bank withdrawal,84.6,360.1,0.0,0,26.72,386.8200000000001,1,2467,1
male,71,no,yes,no,no,0,united states,california,birds landing,94512,38.140719,-121.838298,138,q3,no,0,35,,yes,20.83,yes,yes,fiber optic,19,no,no,yes,no,yes,yes,no,no,month-to-month,yes,bank withdrawal,99.05,3395.8,0.0,120,729.05,4244.85,1,2074,1
male,80,no,yes,no,no,0,united states,california,byron,94514,37.83323,-121.601461,10153,q3,no,0,2,offer e,yes,26.62,no,yes,dsl,11,no,no,no,no,no,no,no,yes,month-to-month,no,credit card,44.95,85.15,0.0,0,53.24,138.39,2,5900,1
male,66,no,yes,no,no,0,united states,california,fremont,94539,37.516791,-121.899117,46917,q3,no,0,8,,yes,11.57,no,yes,fiber optic,27,yes,no,no,yes,yes,yes,yes,yes,month-to-month,no,credit card,100.3,832.35,0.0,0,92.56,924.91,1,5084,1
male,73,no,yes,yes,no,0,united states,california,livermore,94550,37.571748,-121.659562,75929,q3,yes,2,44,,no,0.0,no,yes,cable,28,no,yes,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,30.35,1359.7,0.0,0,0.0,1359.7,1,4829,1
male,77,no,yes,yes,no,0,united states,california,napa,94558,38.489789,-122.27011,63947,q3,yes,1,62,,yes,7.11,yes,yes,fiber optic,16,no,yes,yes,no,yes,yes,yes,yes,one year,yes,bank withdrawal,103.75,6383.35,0.0,0,440.82,6824.17,1,5052,1
female,76,no,yes,yes,no,0,united states,california,pleasanton,94566,37.633361,-121.862395,36669,q3,yes,1,33,,yes,33.19,yes,yes,cable,15,no,yes,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,80.6,2656.5,0.0,0,1095.27,3751.77,2,3601,1
female,65,no,yes,no,no,0,united states,california,san ramon,94583,37.766556,-121.976784,44078,q3,no,0,4,offer e,yes,49.5,yes,yes,fiber optic,23,no,no,no,no,yes,yes,yes,yes,month-to-month,yes,bank withdrawal,94.3,424.45,0.0,0,198.0,622.45,2,5419,1
male,75,no,yes,yes,no,0,united states,california,pleasanton,94588,37.685052,-121.912061,28568,q3,yes,1,27,,yes,10.6,yes,yes,fiber optic,23,no,no,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,75.5,1893.95,0.0,0,286.2,2180.15,1,2377,1
male,75,no,yes,no,no,0,united states,california,berkeley,94704,37.871416,-122.246597,21205,q3,no,0,8,offer e,yes,40.45,yes,yes,fiber optic,29,no,no,yes,no,yes,yes,no,yes,month-to-month,yes,bank withdrawal,100.6,819.4,0.0,0,323.6,1143.0,1,5906,1
female,68,no,yes,yes,no,0,united states,california,berkeley,94707,37.897753,-122.279391,11889,q3,yes,1,3,offer e,yes,25.77,no,yes,fiber optic,2,yes,no,no,yes,yes,no,no,yes,month-to-month,yes,mailed check,88.3,273.75,0.0,0,77.31,351.06,1,4486,1
female,71,no,yes,no,no,0,united states,california,berkeley,94710,37.872902,-122.303708,8157,q3,no,0,8,offer e,yes,42.93,no,yes,fiber optic,9,no,no,yes,no,yes,yes,no,yes,month-to-month,yes,bank withdrawal,92.1,729.95,0.0,0,343.44,1073.39,1,5662,1
male,74,no,yes,no,no,0,united states,california,greenbrae,94904,37.946617,-122.563571,12010,q3,no,0,14,,yes,11.31,no,yes,fiber optic,24,no,no,no,no,yes,yes,no,yes,month-to-month,no,credit card,90.45,1266.1,0.0,0,158.34,1424.4399999999998,3,4777,1
male,77,no,yes,no,no,0,united states,california,forest knolls,94933,38.010092,-122.689442,1025,q3,no,0,12,,no,0.0,no,yes,dsl,10,no,no,yes,yes,no,yes,no,yes,month-to-month,yes,bank withdrawal,43.65,526.95,0.0,0,0.0,526.95,1,2437,1
female,73,no,yes,no,no,0,united states,california,freedom,95019,36.936228,-121.785559,4753,q3,no,0,13,,yes,40.37,no,yes,fiber optic,21,no,no,yes,no,no,no,no,yes,month-to-month,yes,bank withdrawal,74.3,940.35,0.0,0,524.81,1465.16,1,2995,1
female,68,no,yes,no,no,0,united states,california,gilroy,95020,37.03889,-121.528955,49968,q3,no,0,11,,yes,3.96,no,yes,fiber optic,27,no,no,no,no,yes,yes,no,yes,month-to-month,no,bank withdrawal,89.7,1047.7,0.0,0,43.56,1091.26,2,2202,1
male,74,no,yes,yes,no,0,united states,california,los gatos,95030,37.222842,-121.988727,13290,q3,yes,1,17,,yes,28.18,yes,yes,cable,16,no,no,yes,no,yes,yes,no,yes,month-to-month,yes,credit card,100.45,1622.45,0.0,0,479.06,2101.51,3,5508,1
male,65,no,yes,yes,no,0,united states,california,san jose,95128,37.316146,-121.936285,32804,q3,yes,1,39,,yes,33.25,yes,yes,fiber optic,26,no,yes,yes,no,yes,yes,yes,yes,month-to-month,yes,bank withdrawal,105.65,4284.8,0.0,0,1296.75,5581.55,3,4687,1
female,73,no,yes,yes,no,0,united states,california,san jose,95135,37.28682,-121.723877,15798,q3,yes,5,11,,yes,17.25,yes,yes,fiber optic,27,no,no,yes,yes,yes,yes,no,yes,month-to-month,yes,bank withdrawal,104.05,1133.65,0.0,0,189.75,1323.4,3,4553,1
female,74,no,yes,yes,no,0,united states,california,glencoe,95232,38.358464,-120.579304,21,q3,yes,1,3,offer e,yes,3.29,no,yes,fiber optic,9,no,no,no,no,yes,no,no,yes,month-to-month,yes,bank withdrawal,80.4,224.05,0.0,0,9.87,233.92,2,3834,1
male,80,no,yes,no,no,0,united states,california,columbia,95310,38.085839,-120.37855,2144,q3,no,0,21,,yes,34.62,no,yes,dsl,14,no,no,yes,no,yes,no,no,yes,month-to-month,yes,bank withdrawal,60.05,1236.15,0.0,0,727.02,1963.17,1,4716,1
female,76,no,yes,no,no,0,united states,california,escondido,92027,33.141265,-116.967221,48690,q3,no,0,16,,yes,38.75,yes,yes,fiber optic,16,no,no,no,no,yes,yes,no,yes,month-to-month,yes,bank withdrawal,96.15,1529.2,0.0,0,620.0,2149.2,2,5913,1
female,73,no,yes,no,no,0,united states,california,lakewood,90712,33.840524,-118.148403,30173,q3,no,0,46,,yes,6.13,no,yes,fiber optic,30,no,yes,no,no,yes,yes,no,yes,one year,no,credit card,95.25,4424.2,0.0,0,281.98,4706.18,2,3180,1
female,70,no,yes,yes,no,0,united states,california,fulton,95439,38.493888,-122.777141,476,q3,yes,1,68,offer a,yes,24.13,yes,yes,fiber optic,24,no,yes,no,no,no,yes,no,yes,month-to-month,yes,bank withdrawal,89.6,6127.6,0.0,0,1640.84,7768.44,1,5651,1
male,75,no,yes,yes,no,0,united states,california,nice,95464,39.12334,-122.838198,2223,q3,yes,1,7,offer e,yes,13.63,no,yes,fiber optic,27,no,no,no,no,yes,yes,no,yes,month-to-month,yes,bank withdrawal,89.5,676.7,0.0,0,95.41,772.11,2,3077,1
male,74,no,yes,yes,no,0,united states,california,alderpoint,95511,40.166028,-123.584144,261,q3,yes,1,15,,yes,45.25,yes,yes,cable,22,no,no,no,no,no,yes,no,yes,month-to-month,yes,bank withdrawal,85.6,1345.55,0.0,0,678.75,2024.3,1,4981,1
male,76,no,yes,no,no,0,united states,california,bayside,95524,40.825486,-124.049485,1689,q3,no,0,16,,yes,19.18,yes,yes,fiber optic,22,no,no,no,no,yes,no,no,yes,month-to-month,yes,bank withdrawal,86.6,1281.0,0.0,0,306.88,1587.88,3,2508,1
female,75,no,yes,no,no,0,united states,california,loleta,95551,40.665952,-124.240051,1447,q3,no,0,1,offer e,yes,29.68,no,yes,cable,18,no,no,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,69.25,69.25,0.0,0,29.68,98.93,2,4371,1
female,74,no,yes,no,no,0,united states,california,rio dell,95562,40.485849,-124.163234,3284,q3,no,0,1,,no,0.0,no,yes,cable,5,no,no,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,25.2,25.2,0.0,0,0.0,25.2,1,5688,1
female,73,no,yes,no,no,0,united states,california,davis,95618,38.544002,-121.685559,648,q3,no,0,13,,yes,19.03,yes,yes,fiber optic,24,no,no,no,no,yes,yes,yes,yes,month-to-month,yes,bank withdrawal,95.05,1290.0,0.0,0,247.39,1537.39,1,2230,1
female,69,no,yes,no,no,0,united states,california,folsom,95630,38.672638,-121.147403,51855,q3,no,0,1,,yes,20.06,no,yes,fiber optic,24,no,no,no,no,yes,no,no,yes,month-to-month,yes,bank withdrawal,79.2,79.2,0.0,0,20.06,99.26,3,4363,1
female,75,no,yes,yes,no,0,united states,california,madison,95653,38.674276,-121.961866,844,q3,yes,1,34,,yes,2.88,yes,yes,fiber optic,4,no,yes,yes,no,no,yes,no,yes,month-to-month,yes,bank withdrawal,94.25,3217.55,0.0,0,97.92,3315.4700000000003,1,3369,1
female,65,no,yes,no,no,0,united states,california,pleasant grove,95668,38.833554,-121.498102,901,q3,no,0,4,,yes,12.68,no,yes,fiber optic,10,no,yes,yes,no,yes,yes,yes,yes,month-to-month,yes,credit card,99.8,442.85,0.0,0,50.72,493.5700000000001,1,2268,1
female,77,no,yes,no,no,0,united states,california,sheridan,95681,38.984756,-121.345074,1219,q3,no,0,2,,yes,19.27,yes,yes,fiber optic,18,no,no,no,no,yes,yes,no,yes,month-to-month,yes,bank withdrawal,93.85,170.85,0.0,0,38.54,209.39,3,4193,1
male,67,no,yes,no,no,0,united states,california,wheatland,95692,39.043387,-121.409837,3600,q3,no,0,9,,yes,30.8,yes,yes,fiber optic,18,no,no,no,no,no,yes,no,yes,month-to-month,yes,credit card,84.4,732.5,0.0,0,277.2,1009.7,2,5745,1
female,78,no,yes,no,no,0,united states,california,rancho cordova,95742,38.591134,-121.161585,299,q3,no,0,5,,yes,42.33,no,yes,fiber optic,9,no,no,yes,no,no,no,no,yes,month-to-month,yes,credit card,75.55,349.65,0.0,0,211.65,561.3,1,4028,1
male,65,no,yes,no,no,0,united states,california,canyon dam,95923,40.171312,-121.120605,86,q3,no,0,22,offer d,yes,40.18,yes,yes,fiber optic,8,no,no,no,no,yes,yes,yes,no,month-to-month,yes,bank withdrawal,96.7,2082.95,0.0,100,883.96,3066.91,1,4458,1
male,74,no,yes,no,no,0,united states,california,dobbins,95935,39.381174,-121.21191,614,q3,no,0,19,offer d,yes,39.97,yes,yes,fiber optic,9,no,yes,no,no,yes,no,no,yes,month-to-month,yes,bank withdrawal,88.2,1775.8,0.0,0,759.43,2535.23,1,5683,1
male,70,no,yes,no,no,0,united states,california,forest ranch,95942,40.077028,-121.494168,1351,q3,no,0,15,offer d,yes,46.38,yes,yes,fiber optic,19,no,no,no,no,no,no,no,yes,month-to-month,no,bank withdrawal,75.65,1146.65,0.0,0,695.7,1842.35,3,2099,1
male,69,no,yes,no,no,0,united states,california,grass valley,95949,39.099204,-121.137962,17922,q3,no,0,1,,yes,11.34,yes,yes,fiber optic,20,no,no,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,74.7,74.7,0.0,0,11.34,86.04,1,3348,1
female,76,no,yes,no,no,0,united states,california,nevada city,95959,39.333737,-120.858667,17269,q3,no,0,1,,no,0.0,no,yes,dsl,26,no,no,no,no,no,no,no,no,month-to-month,yes,mailed check,25.8,25.8,0.0,20,0.0,45.8,1,3884,1
